3,1,308.000000,173.000000,31.000000,86.000000,1,-1,-1,-1
3,2,460.000000,165.000000,69.000000,166.000000,1,-1,-1,-1
4,1,308.000000,173.000000,31.000000,86.000000,1,-1,-1,-1
4,2,460.000000,165.000000,69.000000,166.000000,1,-1,-1,-1
5,1,308.346252,173.000000,31.045174,86.000000,1,-1,-1,-1
5,2,460.247437,165.000000,69.242767,166.737656,1,-1,-1,-1
6,1,307.992706,173.000000,31.282459,86.715958,1,-1,-1,-1
6,2,459.777863,165.000000,68.999252,166.269363,1,-1,-1,-1
7,1,308.308167,173.000000,31.177589,86.266159,1,-1,-1,-1
7,2,459.495483,165.000000,69.141815,166.796707,1,-1,-1,-1
8,1,308.402557,173.000000,31.175314,86.096420,1,-1,-1,-1
8,2,459.423981,165.000000,69.139740,166.981674,1,-1,-1,-1
9,1,308.790619,173.000000,31.142702,86.033165,1,-1,-1,-1
9,2,459.428528,165.000000,69.085609,167.042450,1,-1,-1,-1
10,1,308.557312,173.000000,31.197937,86.009697,1,-1,-1,-1
10,2,459.158447,165.000000,68.940506,167.058273,1,-1,-1,-1
11,1,308.821838,173.000000,31.179897,86.001175,1,-1,-1,-1
11,2,459.406219,165.000000,68.870056,167.058395,1,-1,-1,-1
12,1,308.921295,173.000000,31.164494,85.998260,1,-1,-1,-1
12,2,459.229889,165.000000,68.720421,167.053558,1,-1,-1,-1
13,1,308.958435,173.000000,31.150568,85.997437,1,-1,-1,-1
13,2,459.210358,164.332687,68.577766,167.047607,1,-1,-1,-1
14,1,307.117493,172.052628,31.531496,85.523674,1,-1,-1,-1
14,2,459.247253,164.083313,68.443398,167.041855,1,-1,-1,-1
15,1,308.419861,172.645416,31.666132,85.820267,1,-1,-1,-1
15,2,459.420776,164.657837,68.080818,166.372055,1,-1,-1,-1
16,1,309.189819,172.870422,31.819208,85.933014,1,-1,-1,-1
16,2,459.514160,164.877625,67.895042,166.117935,1,-1,-1,-1
17,1,307.528900,172.293182,31.794924,86.639076,1,-1,-1,-1
17,2,458.792847,163.632935,68.015976,166.687531,1,-1,-1,-1
18,1,310.426331,171.416275,31.338940,84.262268,1,-1,-1,-1
18,2,460.177368,164.490875,67.405296,166.240433,1,-1,-1,-1
19,1,311.808258,171.085159,31.286858,83.351654,1,-1,-1,-1
19,2,460.820343,164.819809,66.943703,166.070969,1,-1,-1,-1
20,1,312.302917,170.301605,31.946571,84.357552,1,-1,-1,-1
20,2,461.374725,165.606659,66.144028,165.346039,1,-1,-1,-1
21,1,312.324493,170.678894,31.828293,83.415245,1,-1,-1,-1
21,2,461.224152,164.575668,65.894295,165.738403,1,-1,-1,-1
22,1,311.854492,170.167709,32.035965,83.729187,1,-1,-1,-1
22,2,461.558807,164.186096,65.675949,165.889648,1,-1,-1,-1
23,1,310.678406,169.983749,32.102974,84.515999,1,-1,-1,-1
23,2,461.096527,164.701782,65.445679,165.949020,1,-1,-1,-1
24,1,309.912872,169.922302,32.096962,84.816734,1,-1,-1,-1
24,2,461.649475,164.898422,65.224167,165.972885,1,-1,-1,-1
25,1,310.876740,169.907227,32.219059,84.932594,1,-1,-1,-1
25,2,461.808044,164.311310,65.241638,166.644150,1,-1,-1,-1
26,1,311.501801,169.908936,32.401085,84.976898,1,-1,-1,-1
26,2,461.383301,164.749893,64.894760,166.237305,1,-1,-1,-1
27,1,311.297363,169.916168,32.678959,85.654175,1,-1,-1,-1
27,2,461.065948,164.256226,65.073891,166.742706,1,-1,-1,-1
