8,2,364.699912,137.906767,56.233438,150.520920,1,-1,-1,-1
8,1,191.472926,155.679696,48.961443,110.448548,1,-1,-1,-1
8,3,268.166333,160.944800,44.537645,99.693671,1,-1,-1,-1
9,2,367.458857,138.149943,55.586541,149.686706,1,-1,-1,-1
9,1,190.901100,155.649961,48.982016,110.612678,1,-1,-1,-1
9,3,268.960837,160.676867,43.538878,100.391070,1,-1,-1,-1
10,2,369.830043,138.511916,55.226707,148.826568,1,-1,-1,-1
10,1,190.559897,155.535592,49.400700,110.649854,1,-1,-1,-1
10,3,269.775519,160.380381,42.214953,100.892134,1,-1,-1,-1
11,2,371.510541,138.964571,55.249518,147.756241,1,-1,-1,-1
11,1,190.210017,155.515421,48.943284,110.620520,1,-1,-1,-1
11,3,270.594904,160.188153,40.329378,100.225505,1,-1,-1,-1
12,2,373.056749,139.546814,55.188237,146.793646,1,-1,-1,-1
12,1,190.034487,155.545197,49.277210,110.311672,1,-1,-1,-1
12,3,271.246030,159.774369,38.606395,99.466710,1,-1,-1,-1
13,2,374.302333,140.458166,55.345636,145.544346,1,-1,-1,-1
13,1,189.911802,155.638957,48.872095,109.949040,1,-1,-1,-1
13,3,271.912243,159.496512,36.775619,99.008977,1,-1,-1,-1
14,2,375.472185,141.501234,55.247495,144.343492,1,-1,-1,-1
14,1,189.923820,155.819516,48.622803,109.617758,1,-1,-1,-1
14,3,272.103953,159.492428,35.992175,97.245489,1,-1,-1,-1
15,2,376.605914,142.673717,54.974546,143.002299,1,-1,-1,-1
15,1,189.885779,155.962783,48.451673,109.310027,1,-1,-1,-1
15,3,271.998748,159.697004,36.428144,96.029224,1,-1,-1,-1
16,2,377.891494,143.809567,54.504010,141.809854,1,-1,-1,-1
16,1,189.733527,156.201997,48.183371,109.024028,1,-1,-1,-1
16,3,271.836090,160.128898,37.854945,94.959006,1,-1,-1,-1
17,2,379.049408,144.882220,54.004108,140.512023,1,-1,-1,-1
17,1,189.599392,156.442413,47.675367,108.825963,1,-1,-1,-1
17,3,274.214784,160.458229,36.334580,94.933565,1,-1,-1,-1
18,2,380.435408,145.883275,53.129634,139.317177,1,-1,-1,-1
18,1,189.379647,156.841822,47.325722,108.409218,1,-1,-1,-1
18,3,276.893977,161.039914,35.421971,97.977091,1,-1,-1,-1
19,2,382.486308,146.766300,51.521968,138.031144,1,-1,-1,-1
19,1,189.252170,157.093712,46.899300,108.118159,1,-1,-1,-1
19,3,279.049207,161.595850,34.949732,101.105695,1,-1,-1,-1
20,2,384.273864,147.344140,50.162375,137.192178,1,-1,-1,-1
20,1,189.174042,157.267219,46.707209,107.869983,1,-1,-1,-1
20,3,280.947146,162.086068,34.836196,103.654515,1,-1,-1,-1
21,2,385.699951,147.841489,49.093172,136.341542,1,-1,-1,-1
21,1,189.070404,157.464394,46.712990,107.643462,1,-1,-1,-1
